2015,年,4,月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,
,2B,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,,,,,,,,,,,,,,,,,,,,,,
,3B,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,,,,,,,,,,,,,,,,,,,,,,
,4B,プラ,カン,可・ビ,不・本,,,可・ビ,プラ,ペット,可・ビ,その他,,,可・ビ,プラ,カン,可・ビ,不・本,,,可・ビ,プラ,ペット,可・ビ,その他,,,可・ビ,プラ,カン,,,,,,,,,,,,,,,,,,,,,,
,5B,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,,,,,,,,,,,,,,,,,,,,,,
,6B,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,,,,,,,,,,,,,,,,,,,,,,
,7B,可・ビ,ペット,その他,可・ビ,,,プラ,可・ビ,カン,不・本,可・ビ,,,プラ,可・ビ,ペット,その他,可・ビ,,,プラ,可・ビ,カン,不・本,可・ビ,,,プラ,可・ビ,ペット,,,,,,,,,,,,,,,,,,,,,,
,8B,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,,,,,,,,,,,,,,,,,,,,,,
,9B,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,,,,,,,,,,,,,,,,,,,,,,
,10B,可・ビ,プラ,不・本,可・ビ,,,カン,可・ビ,プラ,その他,可・ビ,,,ペット,可・ビ,プラ,不・本,可・ビ,,,カン,可・ビ,プラ,その他,可・ビ,,,ペット,可・ビ,プラ,,,,,,,,,,,,,,,,,,,,,,
2016,年,1,月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,
,曜日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,
,1B,,,,可・ビ,ペット,プラ,可・ビ,その他,,,可・ビ,カン,プラ,可・ビ,不・本,,,可・ビ,ペット,プラ,可・ビ,その他,,,可・ビ,カン,プラ,可・ビ,不・本,,,,,,,,,,,,,,,,,,,,,,,
,2B,,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,,,,,,,,,,,,,,,,,,,,,
,3B,,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,,,,,,,,,,,,,,,,,,,,,
,4B,,,,可・ビ,プラ,ペット,可・ビ,不・本,,,可・ビ,プラ,カン,可・ビ,その他,,,可・ビ,プラ,ペット,可・ビ,不・本,,,可・ビ,プラ,カン,可・ビ,その他,,,,,,,,,,,,,,,,,,,,,,,
,5B,,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,,,,,,,,,,,,,,,,,,,,,
,6B,,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,7B,,,,プラ,可・ビ,カン,その他,可・ビ,,,プラ,可・ビ,ペット,不・本,可・ビ,,,プラ,可・ビ,カン,その他,可・ビ,,,プラ,可・ビ,ペット,不・本,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,8B,,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,9B,,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,10B,,,,カン,可・ビ,プラ,不・本,可・ビ,,,ペット,可・ビ,プラ,その他,可・ビ,,,カン,可・ビ,プラ,不・本,可・ビ,,,ペット,可・ビ,プラ,その他,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,年,2,月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,,,,,,,,,,,,,,,
,曜日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,,,,,,,,,,,,,,,
,1B,可・ビ,ペット,プラ,可・ビ,その他,,,可・ビ,カン,プラ,可・ビ,不・本,,,可・ビ,ペット,プラ,可・ビ,その他,,,可・ビ,カン,プラ,可・ビ,不・本,,,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,2B,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,3B,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,4B,可・ビ,プラ,ペット,可・ビ,不・本,,,可・ビ,プラ,カン,可・ビ,その他,,,可・ビ,プラ,ペット,可・ビ,不・本,,,可・ビ,プラ,カン,可・ビ,その他,,,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,5B,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,,,,,,,,,,,,,,,,,,,,,,,
,6B,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,,,,,,,,,,,,,,,,,,,,,,,
,7B,プラ,可・ビ,カン,その他,可・ビ,,,プラ,可・ビ,ペット,不・本,可・ビ,,,プラ,可・ビ,カン,その他,可・ビ,,,プラ,可・ビ,ペット,不・本,可・ビ,,,プラ,,,,,,,,,,,,,,,,,,,,,,,
,8B,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,,,,,,,,,,,,,,,,,,,,,,,
,9B,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,,,,,,,,,,,,,,,,,,,,,,,
,10B,カン,可・ビ,プラ,不・本,可・ビ,,,ペット,可・ビ,プラ,その他,可・ビ,,,カン,可・ビ,プラ,不・本,可・ビ,,,ペット,可・ビ,プラ,その他,可・ビ,,,カン,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,年,3,月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,
,曜日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,
,1B,ペット,プラ,可・ビ,その他,,,可・ビ,カン,プラ,可・ビ,不・本,,,可・ビ,ペット,プラ,可・ビ,その他,,,可・ビ,カン,プラ,可・ビ,不・本,,,可・ビ,ペット,プラ,可・ビ,,,,,,,,,,,,,,,,,,,,,
,2B,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,,,,,,,,,,,,,,,,,,,,,
,3B,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,,,,,,,,,,,,,,,,,,,,,
,4B,プラ,ペット,可・ビ,不・本,,,可・ビ,プラ,カン,可・ビ,その他,,,可・ビ,プラ,ペット,可・ビ,不・本,,,可・ビ,プラ,カン,可・ビ,その他,,,可・ビ,プラ,ペット,可・ビ,,,,,,,,,,,,,,,,,,,,,
,5B,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,,,,,,,,,,,,,,,,,,,,,
,6B,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,,,,,,,,,,,,,,,,,,,,,
,7B,可・ビ,カン,その他,可・ビ,,,プラ,可・ビ,ペット,不・本,可・ビ,,,プラ,可・ビ,カン,その他,可・ビ,,,プラ,可・ビ,ペット,不・本,可・ビ,,,プラ,可・ビ,カン,その他,,,,,,,,,,,,,,,,,,,,,
,8B,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,,,,,,,,,,,,,,,,,,,,,
,9B,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,,,,,,,,,,,,,,,,,,,,,
,10B,可・ビ,プラ,不・本,可・ビ,,,ペット,可・ビ,プラ,その他,可・ビ,,,カン,可・ビ,プラ,不・本,可・ビ,,,ペット,可・ビ,プラ,その他,可・ビ,,,カン,可・ビ,プラ,不・本,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1B,可・ビ,ペット,プラ,可・ビ,不・本,,,可・ビ,カン,プラ,可・ビ,その他,,,可・ビ,ペット,プラ,可・ビ,不・本,,,可・ビ,カン,プラ,可・ビ,その他,,,可・ビ,ペット,プラ,可・ビ,不・本,,,可・ビ,カン,プラ,可・ビ,その他,,,可・ビ,ペット,プラ,可・ビ,不・本,,,,,
１月まで,2B,可・ビ,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,可・ビ,カン,,,,,
,3B,可・ビ,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,可・ビ,ペット,,,可・ビ,不・本,プラ,可・ビ,カン,,,可・ビ,その他,プラ,可・ビ,ペット,,,,,
,4B,可・ビ,プラ,ペット,可・ビ,その他,,,可・ビ,プラ,カン,可・ビ,不・本,,,可・ビ,プラ,ペット,可・ビ,その他,,,可・ビ,プラ,カン,可・ビ,不・本,,,可・ビ,プラ,ペット,可・ビ,その他,,,可・ビ,プラ,カン,可・ビ,不・本,,,可・ビ,プラ,ペット,可・ビ,その他,,,,,
,5B,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,,,
,6B,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,,,
,7B,プラ,可・ビ,カン,不・本,可・ビ,,,プラ,可・ビ,ペット,その他,可・ビ,,,プラ,可・ビ,カン,不・本,可・ビ,,,プラ,可・ビ,ペット,その他,可・ビ,,,プラ,可・ビ,カン,不・本,可・ビ,,,プラ,可・ビ,ペット,その他,可・ビ,,,プラ,可・ビ,カン,不・本,可・ビ,,,,,
,8B,不・本,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,ペット,可・ビ,,,,,
,9B,その他,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,カン,可・ビ,,,不・本,可・ビ,プラ,ペット,可・ビ,,,その他,可・ビ,プラ,カン,可・ビ,,,,,
,10B,カン,可・ビ,プラ,その他,可・ビ,,,ペット,可・ビ,プラ,不・本,可・ビ,,,カン,可・ビ,プラ,その他,可・ビ,,,ペット,可・ビ,プラ,不・本,可・ビ,,,カン,可・ビ,プラ,その他,可・ビ,,,ペット,可・ビ,プラ,不・本,可・ビ,,,カン,可・ビ,プラ,その他,可・ビ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1B,可・ビ,ペット,プラ,可・ビ,その他,,,可・ビ,カン,プラ,可・ビ,不・本,,,可・ビ,ペット,プラ,可・ビ,その他,,,可・ビ,カン,プラ,可・ビ,不・本,,,可・ビ,ペット,プラ,可・ビ,その他,,,可・ビ,カン,プラ,可・ビ,不・本,,,可・ビ,ペット,プラ,可・ビ,その他,,,,,
1月から,2B,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,,,
,3B,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,可・ビ,不・本,プラ,可・ビ,ペット,,,可・ビ,その他,プラ,可・ビ,カン,,,,,
,4B,可・ビ,プラ,ペット,可・ビ,不・本,,,可・ビ,プラ,カン,可・ビ,その他,,,可・ビ,プラ,ペット,可・ビ,不・本,,,可・ビ,プラ,カン,可・ビ,その他,,,可・ビ,プラ,ペット,可・ビ,不・本,,,可・ビ,プラ,カン,可・ビ,その他,,,可・ビ,プラ,ペット,可・ビ,不・本,,,,,
,5B,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,可・ビ,ペット,その他,可・ビ,プラ,,,可・ビ,カン,不・本,可・ビ,プラ,,,,,
,6B,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,カン,可・ビ,不・本,プラ,可・ビ,,,ペット,可・ビ,その他,プラ,可・ビ,,,,,
,7B,プラ,可・ビ,カン,その他,可・ビ,,,プラ,可・ビ,ペット,不・本,可・ビ,,,プラ,可・ビ,カン,その他,可・ビ,,,プラ,可・ビ,ペット,不・本,可・ビ,,,プラ,可・ビ,カン,その他,可・ビ,,,プラ,可・ビ,ペット,不・本,可・ビ,,,プラ,可・ビ,カン,その他,可・ビ,,,,,
,8B,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,,,
,9B,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,不・本,可・ビ,プラ,カン,可・ビ,,,その他,可・ビ,プラ,ペット,可・ビ,,,,,
,10B,カン,可・ビ,プラ,不・本,可・ビ,,,ペット,可・ビ,プラ,その他,可・ビ,,,カン,可・ビ,プラ,不・本,可・ビ,,,ペット,可・ビ,プラ,その他,可・ビ,,,カン,可・ビ,プラ,不・本,可・ビ,,,ペット,可・ビ,プラ,その他,可・ビ,,,カン,可・ビ,プラ,不・本,可・ビ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
